"Type","Refs","Value","Qty","Footprint","N8 Part#"
"C","C3, C4","10uF","2","Radial Electrolytic 5x11mm",""
"C","C19, C20","10nF","2","Multilayer Ceramic 4mm",""
"C","C11, C13, C8, C16, C14, C5","47pF","6","Multilayer Ceramic 4mm",""
"C","C6, C12, C9, C15, C1, C2, C17, C18","100nF","8","Multilayer Ceramic 4mm",""
"C","C7, C10","580pF","2","Multilayer Ceramic 4mm",""
"H","H1","Bread and Butter A1","1","N8 Synth BBA1","EBBA1"
"H","H2","6HP 2x6 Control Deck","1","N8 Synth ECD6HP2x6","ECD6HP2x6"
"H","H2","Bread and Butter B1","1","N8 Synth BBB1","EBBB1"
"J","J8","CV inputs","1","2.54mm Pin Header 1x3 Male ",""
"J","J2","1x40 Female ","1","2.54mm Pin Header 1x40 Female ","PH-XS40-1"
"J","J6, J5, J8","1x2 Female ","3","2.54mm Pin Header 1x2 Female ","PH-XS02-1"
"J","J9, J10","1x3 Male ","2","2.54mm Pin Header 1x3 Male ",""
"J","J3, J4","1x3 Female ","2","2.54mm Pin Header 1x3 Female ",""
"J","J7","CV inputs","1","2.54mm Pin Header 1x3 Female ",""
"J","J2, J1, J3, J4, J5, J6","PJ-3001F","6","PJ-3001F","JK35M"
"J","J11, J12, J14","1x2 Male ","3","2.54mm Pin Header 1x2 Male ","PH-YS02-1"
"J","J2","8x2 Male ","1","2.54mm Pin Header 8x2 Male ","PH-YS08-2"
"J","J1","1x40 Male Angled ","1","2.54mm Pin Header 1x40 Male Angled ","PH-YA40-1"
"P","P1, P2, P3, P4","B10K","4","Alpha-RV09","T9GB10K"
"Q","Q1","LM7905","1","TO-92",""
"R","R25, R26","33K","2","Metal Film 1/4W",""
"R","R10, R5, R14, R18, R29, R30","1K","6","Metal Film 1/4W",""
"R","R11, R13, R8, R7, R17, R15, R1, R2, R3, R6, R19, R20, R21, R22, R23, R24, R27, R28","100K","18","Metal Film 1/4W",""
"R","R4, R12, R9, R16","10K","4","Metal Film 1/4W",""
"SW","SW1, SW2","SMTS-102 (On-On)","2","SMTS-102","SWMTOO"
"U","U3","Daisy Seed","1","Electrosmith Daisy Seed",""
"U","U1, U2","TL074 - Audio IO","2","DIP14",""
"U","U3","TL074 - CV inputs","1","DIP14",""